codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
40855,40855,ACIDENTE,MANAUS,AM,****,2010-05-13,18:58:00,4
41573,41573,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-05-13,16:10:00,0
40853,40853,INCIDENTE,MARÍLIA,SP,SBML,2010-05-14,18:25:00,0
41574,41574,INCIDENTE,JUIZ DE FORA,MG,****,2010-05-14,23:57:00,0
40933,40933,ACIDENTE,CÁCERES,MT,SWKC,2010-05-15,20:40:00,0
41485,41485,INCIDENTE,MANICORÉ,AM,****,2010-05-15,12:00:00,0
41393,41393,INCIDENTE,LONDRINA,PR,SBLO,2010-05-17,11:15:00,0
41409,41409,INCIDENTE,BAGÉ,RS,****,2010-05-17,14:20:00,0
41054,41054,INCIDENTE,MONTE ALEGRE,PA,****,2010-05-18,14:55:00,0
41174,41174,INCIDENTE,MACEIÓ,AL,SBMO,2010-05-18,21:50:00,0
41053,41053,ACIDENTE,CASCAVEL,PR,SBCA,2010-05-19,08:10:00,2
41132,41132,INCIDENTE,SÃO PAULO,SP,****,2010-05-20,03:00:00,0
41155,41155,ACIDENTE,JUNDIAÍ,SP,SBJD,2010-05-20,19:35:00,5
41177,41177,ACIDENTE,GOIÂNIA,GO,SBGO,2010-05-20,20:05:00,0
41179,41179,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2010-05-20,22:20:00,8
41178,41178,INCIDENTE,CAMPINAS,SP,SDAM,2010-05-21,15:40:00,0
41172,41172,INCIDENTE,PARAUAPEBAS,PA,SBCJ,2010-05-22,19:02:00,0
41235,41235,INCIDENTE,BRASÍLIA,DF,SBBR,2010-05-23,15:35:00,0
41224,41224,INCIDENTE,GOIÂNIA,GO,****,2010-05-26,15:50:00,0
41252,41252,INCIDENTE,SÃO LUÍS,MA,SBSL,2010-05-26,14:10:00,0
41374,41374,ACIDENTE,CORRENTINA,BA,****,2010-05-26,14:00:00,9
41274,41274,ACIDENTE,BOCAINA,SP,****,2010-05-27,12:00:00,0
41236,41236,ACIDENTE,FELIZ DESERTO,AL,SNUZ,2010-05-29,09:55:00,3
41272,41272,INCIDENTE,FORTALEZA,CE,SBFZ,2010-05-29,19:38:00,0
41375,41375,INCIDENTE,BRASÍLIA,DF,SBBR,2010-05-29,15:45:00,0
41376,41376,INCIDENTE,PORTO SEGURO,BA,SBPS,2010-05-29,13:50:00,0
41378,41378,INCIDENTE,COARI,AM,****,2010-06-02,19:00:00,0
41481,41481,INCIDENTE,CONFINS,MG,SBCF,2010-06-02,01:00:00,0
41484,41484,INCIDENTE,BRASÍLIA,DF,SBBR,2010-06-02,12:20:00,0
41482,41482,ACIDENTE,TRÊS FORQUILHAS,RS,****,2010-06-03,16:15:00,0
41661,41661,INCIDENTE,CAMPINAS,SP,****,2010-06-03,13:00:00,0
41392,41392,INCIDENTE,LONDRINA,PR,SBLO,2010-06-04,11:42:00,0
41394,41394,INCIDENTE,GUARULHOS,SP,SBGR,2010-06-04,01:05:00,0
41682,41682,INCIDENTE,GUARULHOS,SP,SBGR,2010-06-05,19:12:00,0
41487,41487,INCIDENTE,JOINVILLE,SC,SBJV,2010-06-07,12:50:00,0
41411,41411,INCIDENTE GRAVE,SÃO PAULO,SP,SBMT,2010-06-08,19:30:00,2
41480,41480,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2010-06-08,23:07:00,1
41579,41579,INCIDENTE,SANTA ROSA DO PURUS,AC,****,2010-06-09,13:55:00,0
45940,45940,ACIDENTE,ALTO ALEGRE,RR,****,2010-06-09,15:00:00,0
41591,41591,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2010-06-10,17:30:00,0
41592,41592,INCIDENTE,FORTALEZA,CE,****,2010-06-10,03:00:00,0
41676,41676,INCIDENTE,BRASÍLIA,DF,****,2010-06-10,17:27:00,0
42010,42010,INCIDENTE,MACAÉ,RJ,****,2010-06-10,11:52:00,0
41569,41569,ACIDENTE,SÃO FÉLIX DO XINGU,PA,SNFX,2010-06-12,23:30:00,0
41488,41488,ACIDENTE,AQUIRAZ,CE,****,2010-06-13,12:50:00,0
41553,41553,INCIDENTE,CONFINS,MG,SBCF,2010-06-13,10:03:00,0
41595,41595,INCIDENTE,PETROLINA,PE,SBPL,2010-06-13,15:00:00,0
41908,41908,INCIDENTE,CAMPINAS,SP,SBKP,2010-06-13,12:45:00,0
41552,41552,ACIDENTE,NOVA MAMORÉ,RO,****,2010-06-14,14:25:00,9
41551,41551,INCIDENTE,MANAUS,AM,SBEG,2010-06-15,15:20:00,0
41578,41578,INCIDENTE GRAVE,NOVA XAVANTINA,MT,SWXV,2010-06-15,20:45:00,1
41589,41589,INCIDENTE,SÃO PAULO,SP,****,2010-06-15,00:38:00,0
42013,42013,INCIDENTE,MACAÉ,RJ,****,2010-06-16,13:45:00,0
41571,41571,INCIDENTE,SÃO PAULO,SP,****,2010-06-17,22:30:00,0
41854,41854,INCIDENTE,SALVADOR,BA,SBSV,2010-06-17,09:31:00,0
41915,41915,INCIDENTE,SALVADOR,BA,****,2010-06-18,09:37:00,0
41678,41678,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2010-06-19,19:05:00,0
41680,41680,INCIDENTE,BELO HORIZONTE,MG,****,2010-06-19,13:06:00,0
42011,42011,INCIDENTE,RIO DE JANEIRO,RJ,****,2010-06-19,13:16:00,0
41655,41655,INCIDENTE,SÃO PAULO,SP,SBMT,2010-06-20,17:40:00,0
41664,41664,INCIDENTE,BRASÍLIA,DF,SBBR,2010-06-21,17:23:00,0
41684,41684,INCIDENTE,BRASÍLIA,DF,****,2010-06-21,17:00:00,0
41840,41840,INCIDENTE,SALVADOR,BA,****,2010-06-23,15:29:00,0
41609,41609,INCIDENTE,ARACAJU,SE,SBAR,2010-06-24,03:36:00,0
41729,41729,ACIDENTE,RIO DE JANEIRO,RJ,****,2010-06-25,13:05:00,0
41852,41852,INCIDENTE,GUARULHOS,SP,SBGR,2010-06-25,21:30:00,0
41910,41910,INCIDENTE,NAVEGANTES,SC,SBNF,2010-06-25,11:45:00,0
41672,41672,INCIDENTE,RIBEIRÃO PRETO,SP,****,2010-06-27,12:30:00,0
41898,41898,INCIDENTE GRAVE,SANTO ÂNGELO,RS,****,2010-06-27,17:45:00,2
41909,41909,INCIDENTE,COARI,AM,****,2010-06-27,12:20:00,0
42009,42009,INCIDENTE,CARAUARI,AM,****,2010-06-27,17:45:00,0
41670,41670,INCIDENTE GRAVE,IPATINGA,MG,****,2010-06-28,12:45:00,0
41829,41829,ACIDENTE,JUNDIAÍ,SP,SBJD,2010-06-29,19:20:00,2
42012,42012,INCIDENTE,CAMPINAS,SP,SBKP,2010-06-30,19:37:00,0
41913,41913,INCIDENTE,SALVADOR,BA,SBSV,2010-07-02,17:25:00,0
41991,41991,INCIDENTE,GUARULHOS,SP,SBGR,2010-07-02,13:30:00,0
41749,41749,ACIDENTE,RECIFE,PE,SBRF,2010-07-04,20:20:00,1
41902,41902,INCIDENTE,BRASÍLIA,DF,****,2010-07-04,21:00:00,0
41832,41832,INCIDENTE GRAVE,RONDONÓPOLIS,MT,****,2010-07-05,22:00:00,0
41845,41845,INCIDENTE,UBERLÂNDIA,MG,SBUL,2010-07-05,10:35:00,0
42232,42232,INCIDENTE,BRASÍLIA,DF,SBBR,2010-07-05,03:00:00,0
41914,41914,INCIDENTE,MARÍLIA,SP,SBML,2010-07-07,18:07:00,0
41985,41985,INCIDENTE,ITAJAÍ,SC,****,2010-07-07,16:12:00,0
41984,41984,INCIDENTE,GOIÂNIA,GO,****,2010-07-08,15:24:00,0
42429,42429,INCIDENTE,PORTO ALEGRE,RS,SBPA,2010-07-09,13:44:00,0
41751,41751,ACIDENTE,CAMANDUCAIA,MG,****,2010-07-10,18:20:00,9
41789,41789,ACIDENTE,PAÇO DO LUMIAR,MA,****,2010-07-10,13:39:00,4
41834,41834,INCIDENTE GRAVE,PONTA GROSSA,PR,SSZW,2010-07-10,20:35:00,5
42039,42039,INCIDENTE,LINHARES,ES,****,2010-07-10,11:20:00,0
41837,41837,INCIDENTE,OLINDA,PE,****,2010-07-11,11:50:00,8
41750,41750,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-07-12,19:53:00,3
41844,41844,INCIDENTE,SALVADOR,BA,SBSV,2010-07-12,11:46:00,0
41904,41904,INCIDENTE,CAMPO LIMPO DE GOIÁS,GO,****,2010-07-14,20:00:00,0
41994,41994,INCIDENTE,RONDONÓPOLIS,MT,SWRD,2010-07-14,21:35:00,0
41850,41850,INCIDENTE GRAVE,PALMAS,TO,SBPJ,2010-07-15,17:00:00,1
41899,41899,INCIDENTE,LONDRINA,PR,SBLO,2010-07-16,23:28:00,0
41900,41900,ACIDENTE,NOVO HORIZONTE,SP,****,2010-07-16,19:20:00,3
41916,41916,ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,SWLV,2010-07-18,16:00:00,0
41917,41917,ACIDENTE,BRASÍLIA,DF,SSGP,2010-07-19,18:30:00,1
41960,41960,ACIDENTE,PALMAS,TO,****,2010-07-20,15:00:00,1
42067,42067,INCIDENTE,RIO DE JANEIRO,RJ,****,2010-07-20,12:41:00,0
41973,41973,INCIDENTE,BRASÍLIA,DF,****,2010-07-21,16:15:00,0
42068,42068,INCIDENTE,SALVADOR,BA,SBSV,2010-07-21,13:25:00,0
42073,42073,INCIDENTE,SALVADOR,BA,SBSV,2010-07-21,19:16:00,0
42614,42614,INCIDENTE,NAVEGANTES,SC,SBNF,2010-07-21,16:17:00,0
42618,42618,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2010-07-21,16:10:00,0
41976,41976,INCIDENTE,RIO BRANCO,AC,****,2010-07-23,08:08:00,0
42001,42001,ACIDENTE,BOITUVA,SP,SDOI,2010-07-24,18:00:00,1
42071,42071,ACIDENTE,AFUÁ,PA,****,2010-07-24,10:15:00,6
42387,42387,ACIDENTE,MATINHA,MA,****,2010-07-24,17:00:00,1
43091,43091,ACIDENTE,JOINVILLE,SC,SBJV,2010-07-25,15:10:00,0
42038,42038,INCIDENTE,CARUARU,PE,****,2010-07-26,22:30:00,0
